,ra,dec,u,g,r,i,z,redshift,class_GALAXY,class_QSO,class_STAR
0,0.16745004575991398,-0.5848934684800748,1.031434795974186,-0.34854194946091294,-0.8372384014318198,-0.9460104133064076,-0.9952917687410601,-0.3697126314723173,0.1,0.1,0.9
1,0.1688531427496715,-0.583085137985216,0.052427836770126884,-0.16652418651879788,-0.15414760484561738,-0.0826404367952372,-0.02604178130187122,-0.36983079779971645,0.1,0.1,0.9
2,0.17056580514915845,-0.5834460718833017,0.9215218779894375,0.8670498616364348,0.593124019690425,0.4411793876634058,0.3145118011788622,-0.053024404741799376,0.9,0.1,0.1
3,0.1745488168858581,-0.5864713686481897,-1.0305788509355283,-0.8135868097688252,-0.636660436715394,-0.5265779569755452,-0.43089952650752245,-0.3699741098392762,0.1,0.1,0.9
4,0.17481583198893264,-0.5843832504648627,-1.2901678692457959,-1.1724608115484734,-0.3767435363663707,-0.025099954489715155,0.1582685602501179,-0.3681710753374044,0.1,0.1,0.9
5,0.17406003248090188,-0.5815617040136906,0.9798693701343916,1.159077895504281,1.2395494228104653,1.2534285429847247,1.3453564829381184,-0.36888036653125805,0.1,0.1,0.9
6,0.17442010283606155,-0.5876894283964877,0.9218115035967773,0.5479026724322162,0.2476264385000771,0.07037170420320829,-0.0442849811443416,-0.11184752021109003,0.9,0.1,0.1
7,0.1751672738316811,-0.5810151777524263,0.4351318736662907,0.5003172278696882,0.5050334217484778,0.5457594332053014,0.5384668184705235,-0.36887973634514104,0.1,0.1,0.9
8,0.17568015235824366,-0.5845939012059352,-0.8606651612972739,-0.42329943382809593,-0.15504667962792865,-0.040128792790518696,0.04415505964095443,-0.3694604026942423,0.1,0.1,0.9
9,0.17670371199734253,-0.5852134503100916,0.06412147066639495,0.3615378061971059,0.611236630409086,0.6124170604240731,0.6678979579451432,-0.265495049360819,0.9,0.1,0.1
10,0.17682293321854484,-0.5830568663621926,0.818632380982638,0.45516446884825223,0.32001132383851,0.29757340769938073,0.31287448438206644,-0.3697785823785975,0.1,0.1,0.9
11,0.17904413372869774,-0.5840043359906394,0.25790513744275173,0.15433645945783867,0.09530818579671274,0.1143809771994397,0.15157800176574895,-0.3680876927114728,0.1,0.1,0.9
12,0.1793950251715519,-0.5808550323487582,1.1381618322782139,0.8664575555916466,0.7648004763004447,0.7813513622796608,0.8055239926565139,-0.3695488859694389,0.1,0.1,0.9
13,0.18061746333670184,-0.5854506476764226,1.1591596888102125,0.3767685330630839,0.1371432592611698,0.08511152638284104,0.06767590499593698,-0.36966823550342504,0.1,0.1,0.9
14,0.18122569916813877,-0.5845051867971839,0.7690943343942094,0.18695559949581322,-0.19216161048524655,-0.3804146222423847,-0.5455865035582036,-0.18426732556469036,0.9,0.1,0.1
15,0.18459659088251254,-0.5802315800955582,0.1435633612124652,1.3090899782405228,1.4572472698400836,1.5135342939728091,1.2913998299188394,0.32978330948573276,0.1,0.9,0.1
16,0.18190006251234664,-0.5865885937705013,0.5312513721015694,0.7649087995914587,1.0177308163619163,1.1465363684734784,1.2341269870420926,-0.369149492013832,0.1,0.1,0.9
17,0.18239954727722374,-0.5805874571574007,0.7265676410500913,2.041920632154598,2.151473482219714,2.2157296135785733,2.3368806278159475,2.660600227618194,0.1,0.9,0.1
18,0.18539651237141985,-0.585742485876973,0.5124136398909659,0.14715474866478429,0.030331302050034113,0.02413788288039824,0.05003111535331168,-0.36907200741551743,0.1,0.1,0.9
19,0.18523012627410793,-0.5815367714082075,-0.9687317160352402,-0.5311414415541597,-0.28294943277413104,-0.3396545910932367,-0.27938538840809996,-0.1825061482819254,0.9,0.1,0.1
20,0.18702853176890918,-0.5840100753137544,0.9338551017685783,1.1748903515213909,1.2404859590420414,1.2853692034060715,1.346794329668298,-0.3703846362255531,0.1,0.1,0.9
21,0.18917483603793786,-0.5830134880487332,-1.3346495354394439,-1.0090372276552444,-0.7248915150920788,-0.5658316010689013,-0.43887832917210984,-0.36978089734800673,0.1,0.1,0.9
22,0.19094865979449563,-0.5835853554477511,0.5526474638436596,1.3467014120845675,1.5507323164759053,1.7018589501395731,1.6911877109313669,2.010030290579871,0.1,0.9,0.1
23,0.1910454548359756,-0.5821074181286663,0.013231837910393332,-0.14549732192882353,-0.10627187268750041,-0.05767995360334299,0.014591933518099821,-0.36967849853447254,0.1,0.1,0.9
24,0.1880745238660558,-0.58267801162094,0.721028551309753,0.9811428135137407,1.2689379297572887,1.3697619107875048,1.5323846041477334,-0.369463232101298,0.1,0.1,0.9
25,0.19020348112092628,-0.585255069554988,0.9573871823647866,0.10487890471803342,-0.32054199710955406,-0.45415752346194227,-0.6269619794842276,-0.06930198353327219,0.9,0.1,0.1
26,0.19038858290741884,-0.5879260845963818,-0.1616175547862467,-0.03483128359636114,0.05696639247602809,0.07316552670784479,0.05319770266082134,-0.3149109008075359,0.9,0.1,0.1
27,0.19142145121088897,-0.5860933301782117,-1.0752415331337684,-1.2418346570442798,-1.1053312630824914,-0.9351153813447532,-0.8200573152200404,-0.36923851287636916,0.1,0.1,0.9
28,0.19215826924728097,-0.5858105293857632,-1.0995097454819585,-0.8051570255242515,-0.6024206720890091,-0.45636455565996276,-0.34952405058149855,-0.3692461908582431,0.1,0.1,0.9
29,0.19337698227246206,-0.5805972550701387,-0.5184483707602235,-0.14231367693808403,0.046982916247440124,0.15211947617272623,0.23910380474572676,-0.36835254064501616,0.1,0.1,0.9
